Name,Type,Role,Country,Description,Supporting_Text
"J. K. Galbraith","Individual","Provided scholarly critique of post‑war consumerism and its ecological consequences, informing public discourse and early environmental thought.","None","Economist who identified the imbalance between private wealth and environmental effects in *The Affluent Society*.","The economist J. K. Galbraith (1908-2006) eloquently identified the imbalance between the new-found private wealth and its environmental effects in his book The Affluent Society (1956)."
"Queen Elizabeth II","Individual","Served as a symbolic event that accelerated television adoption, thereby expanding the medium that later drove consumer‑driven environmental awareness.","United Kingdom","Monarch whose coronation in 1953 prompted many UK families to purchase their first television sets.","In 1953 many families in the UK bought their first television for the coronation of Queen Elizabeth II."
"BBC","Organization","Controlled early TV content and shaped the initial media environment before competition introduced advertising, influencing public perception of consumption.","United Kingdom","British public broadcaster that held a monopoly on television until the mid‑1950s. British public service broadcaster known for news, documentaries, and educational programming.","Two years later, the BBC's monopoly of television came to an end when the first independent television station, ITV, went on air."
"ITV","Organization","Pioneered TV advertising, expanding commercial messaging and contributing to the growth of consumer culture linked to environmental impacts.","United Kingdom","The first independent television station in the UK, which introduced television advertising to British audiences.","Two years later, the BBC's monopoly of television came to an end when the first independent television station, ITV, went on air."
"Bulova","Organization","Early adopter of TV advertising, demonstrating the commercial potential of the medium and influencing the spread of consumerist messaging.","United States","Watchmaker that aired the first United States television advertisement.","The first US television advertisement, for watchmaker Bulova, had been broadcast twelve years earlier and an industry was already developing around this advertising medium."
"Gaylord Nelson","Government","Proposed the first Earth Day on 22 April 1970, initiating a nationwide environmental mobilization.","United States","U.S. Senator who championed environmental legislation.","A year after the moon landing, US senator Gaylord Nelson (1916-2005) proposed the first Earth Day on 22 April 1970."
"Sir Fred Hoyle","Individual","Predicted that seeing Earth from space would transform human consciousness, influencing early environmental thought.","United Kingdom","British astronomer and prolific science writer.","Twenty-four years earlier, British astronomer Sir Fred Hoyle (1915-2001) had predicted that, when spaceflight enabled us to see the whole of Earth from space, the view would change us forever."
"Keep America Beautiful","NGO","Launched the iconic ‘Crying Indian’ public‑announcement campaign in 1971, raising public awareness of personal responsibility for pollution.","United States","U.S. nonprofit organization founded in 1953 to promote a national cleanliness ethic and reduce litter.","In 1971, Keep America Beautiful (KAB) launched the 'Crying Indian' public announcement campaign, which was to become an iconic symbol of personal environmental responsibility."
"CBS News","Organization","Provided primetime coverage of the inaugural Earth Day through the special report “Earth Day: A Question of Survival,” amplifying the movement’s message.","United States","American television news division of the Columbia Broadcasting System.","Media coverage included a primetime CBS News Special Report called Earth Day: A Question of Survival."
"Friends of the Earth (UK)","NGO","Published the pamphlet *The Aerosol Connection* and organised a consumer boycott against CFC‑based aerosols.","United Kingdom","UK branch of the international environmental organization Friends of the Earth.","In 1986, the UK FoE published a pamphlet, The Aerosol Connection, detailing a list of aerosols that were CFC‑free."
"Jonathon Porritt","Individual","Led FoE’s campaign strategy and publicly reflected on the power of consumer awareness.","United Kingdom","British environmentalist and former Director of Friends of the Earth (UK).","The then FoE Director, Jonathon Porritt (b. 1950), reflecting on the power of consumer awareness, wrote:"
"Prince of Wales","Individual","Publicly announced a personal ban on aerosols, influencing industry and consumer perception.","United Kingdom","Heir apparent to the British throne, known for environmental advocacy.","Once the Prince of Wales declared that he had banned all aerosols from his household, they knew they were fighting a losing battle."
"John Elkington","Individual","Co‑author of *The Green Consumer Guide*, promoting green consumerism.","United Kingdom","British sustainability consultant and author.","In 1988, John Elkington (b. 1949) and Julia Hailes (b. 1961) published The Green Consumer Guide, which reflected the growing interest in green consumerism..."
"Julia Hailes","Individual","Co‑author of *The Green Consumer Guide*, encouraging green purchasing decisions.","United Kingdom","British author and sustainability advocate.","In 1988, John Elkington (b. 1949) and Julia Hailes (b. 1961) published The Green Consumer Guide, which reflected the growing interest in green consumerism..."
"Environmental Defense Fund (EDF)","NGO","Joined other groups in a 1988 campaign targeting McDonald’s for its waste generation.","United States","U.S. environmental nonprofit organization.","In 1988, the US environmental groups EDF, Earth Action Network and Kids Against Pollution attacked McDonald's, the largest US fast-food chain, for the amount of rubbish it produced."
"Earth Action Network","NGO","Participated in the 1988 consumer‑action campaign against McDonald’s waste practices.","United States","U.S. environmental advocacy network.","In 1988, the US environmental groups EDF, Earth Action Network and Kids Against Pollution attacked McDonald's, the largest US fast-food chain, for the amount of rubbish it produced."
"Kids Against Pollution","NGO","Joined EDF and Earth Action Network in pressuring McDonald’s over non‑recyclable waste.","United States","U.S. youth‑focused environmental organization.","In 1988, the US environmental groups EDF, Earth Action Network and Kids Against Pollution attacked McDonald's, the largest US fast-food chain, for the amount of rubbish it produced."
"McDonald’s","Organization","Target of consumer‑action campaigns; responded by agreeing in 1990 to shift to paper‑based packaging.","United States","Global fast‑food corporation headquartered in the United States.","The company was subjected to mounting pressure on its nonrecyclable waste and in 1990 agreed to move to paper‑based packaging."
"Anita Roddick","Individual","Established a natural‑beauty retail chain that championed environmentally friendly products and partnerships.","United Kingdom","British entrepreneur and founder of The Body Shop.","In 1976, Anita Roddick (1942-2007) founded The Body Shop in Brighton, UK to sell natural beauty products."
"The Body Shop","Organization","Sponsored Greenpeace posters, supported community‑trade products, and co‑ran the ‘Save the whale’ window campaign with Greenpeace.","United Kingdom","International cosmetics retailer founded in the UK, known for ethical sourcing and environmental campaigns.","The Body Shop appealed to the environmentally conscious consumer by sponsoring Greenpeace posters and supporting community trade products. In 1986 it created its own window campaign, 'Save the whale', in collaboration with Greenpeace."
"Marks & Spencer","Organization","Launched a £200 million ‘Plan A’ programme aimed at carbon neutrality through energy reduction and recycled‑material products.","United Kingdom","British retailer.","Marks & Spencer launched a £200 million 'Plan A' programme to make the company carbon neutral by cutting energy consumption and stocking more products from recycled materials."
"Jacques Cousteau","Individual","Brought marine life to public attention through the 1966 US broadcast of *The Undersea World of Jacques Cousteau*, helping to raise environmental awareness.","France","French oceanographer and filmmaker.","The 1966 US broadcast of The Undersea World of Jacques Cousteau brought life under the seas to public attention for the very first time."
"David Bellamy","Individual","Contributed to popularising environmental knowledge on UK television.","United Kingdom","British botanist and TV presenter.","UK TV botanist David Bellamy (b. 1933)"
"David Attenborough","Individual","Produced influential documentaries (e.g., *Life on Earth*) that reshaped public perspectives on the natural world.","United Kingdom","British naturalist and broadcaster.","naturalist David Attenborough (b. 1926). In 1979, Attenborough produced a highly acclaimed documentary, Life on Earth, which told the story of the evolution of life on the planet."
"Paul Newman","Individual","Participated in the 1970 Earth Day celebration, linking celebrity culture with environmental activism.","United States","American actor and philanthropist.","US actors Paul Newman (1925-2008) ... took part in the 1970 Earth Day celebration at Union Square in New York City."
"Ali McGraw","Individual","Participated in the 1970 Earth Day celebration, linking celebrity culture with environmental activism.","United States","American actor.","US actors Paul Newman (1925-2008) and Ali McGraw (b. 1939) took part in the 1970 Earth Day celebration at Union Square in New York City."
"Pete Seeger","Individual","Performed at a 1970 Earth Day event in Washington, DC, helping to raise environmental awareness through music.","United States","American folk singer and activist.","Folk singer Pete Seeger (b. 1919) was one of a number of artists who performed at a similar event in Washington, DC."
"Trudie Styler","Individual","Co‑founder of the Rainforest Foundation International, supporting indigenous rainforest protection.","United Kingdom","British actress and producer, wife of Sting.","British musician Sting (b. 1951) founded the Rainforest Foundation International with his wife Trudie Styler (b. 1954) ..."
"Jean‑Pierre Dutilleux","Individual","Co‑founder of the Rainforest Foundation International, contributing to its media and advocacy work.","Belgium","Belgian film‑maker.","...and Belgian film‑maker Jean‑Pierre Dutilleux."
"Rainforest Foundation International","NGO","Responded to the request of Kayapo leader Raoni Metuktire and led an international campaign that achieved legal recognition and demarcation of over 27,000 km² of Amazon rainforest.","International","International non‑governmental organization focused on rainforest protection and indigenous rights.","The Foundation responded to the request of Kayapo indigenous leader Raoni Metuktire, who joined Sting in an international campaign to support their fight for the right to own their own land in the Brazilian state of Amazonas."
"Raoni Metuktire","Individual","Partnered with Sting and the Rainforest Foundation International to secure legal recognition and demarcation of Kayapo territory.","Brazil","Indigenous leader of the Kayapo people in Brazil.","The Foundation responded to the request of Kayapo indigenous leader Raoni Metuktire, who joined Sting in an international campaign to support their fight for the right to own their own land in the Brazilian state of Amazonas."
"Vanity Fair","Organization","Published the 2006 'Green Issue' to highlight global warming and promote sustainability to a broad audience.","United States","US magazine covering popular culture, fashion and politics.","In May 2006, US Vanity Fair, a magazine of popular culture, fashion and politics, reflected popular environmental awareness when it published its 'Green Issue'."
"Julia Roberts","Individual","Featured on the Vanity Fair 'Green Issue' cover to draw public attention to climate change.","United States","Hollywood movie star and actress.","The cover featured Hollywood movie stars Julia Roberts (b. 1967) and George Clooney (b. 1961)..."
"George Clooney","Individual","Featured on the Vanity Fair 'Green Issue' cover to draw public attention to climate change.","United States","Hollywood movie star and actor.","The cover featured Hollywood movie stars Julia Roberts (b. 1967) and George Clooney (b. 1961)..."
"Robert Kennedy Jr","Individual","Appeared on the Vanity Fair 'Green Issue' cover to signal political support for climate awareness.","United States","American environmental attorney and political figure.","The cover featured ... politicians Al Gore (b. 1948) and Robert Kennedy Jr (b. 1954)..."
"Annie Leibovitz","Individual","Photographed the Vanity Fair 'Green Issue' cover, visually linking celebrities with environmental messaging.","United States","American portrait photographer.","The four celebrities were photographed by American portrait photographer Annie Leibovitz (b. 1949)..."
"Leonardo DiCaprio","Individual","Produced and narrated the documentary *The 11th Hour* to raise awareness of planetary health challenges.","United States","American actor and environmental activist.","In 2007, US actor Leonardo DiCaprio (b. 1974) produced and narrated the feature film documentary The 11th Hour on the state of the natural environment."
"Franny Armstrong","Individual","Produced the climate‑change film *The Age of Stupid* and founded the 10:10 campaign to encourage emission reductions.","United Kingdom","British environmental campaigner and filmmaker.","In 2009 British environmental campaigner Franny Armstrong (b. 1972) produced the film The Age of Stupid... This inspired Armstrong to found the 10:10 campaign, which encouraged individuals, businesses and organisations to commit to reducing their carbon emissions."
"Pete Postlethwaite","Individual","Starred in *The Age of Stupid*, a film used to communicate climate‑change risks to the public.","United Kingdom","British actor.","The Age of Stupid stars British actor Pete Postlethwaite (1946-2011), who depicted a man living alone in the devastated world of 2055..."
"Public Interest Research Centre","NGO","Authored the *Climate Safety* report that called for a 10 % emissions reduction, providing evidence that spurred the 10:10 campaign.","United Kingdom","UK‑based research organization focused on public‑interest issues.","In 2008, the Public Interest Research Centre's report Climate Safety concluded the need for a 10 per cent reduction in the developed world's emissions by the end of 2010."
"10:10 campaign","Coalition","Mobilises individuals, businesses and organisations worldwide to commit to measurable emission reductions.","United Kingdom","International climate‑action campaign encouraging a 10 % carbon‑emission cut.","This inspired Armstrong to found the 10:10 campaign, which encouraged individuals, businesses and organisations to commit to reducing their carbon emissions."
"Vivenne Westwood","Individual","Launched the 'Active Resistance' project to promote humanitarian and environmental engagement through fashion.","United Kingdom","British fashion designer.","In 2005, the designer Vivenne Westwood (b. 1941) set up 'Active Resistance' as a project to encourage engagement with humanitarian and environmental issues."
"Anya Hindmarch","Individual","Created a high‑visibility reusable‑bag campaign for Sainsbury's to discourage plastic‑bag use.","United Kingdom","British bag designer.","In 2007, bag designer Anya Hindmarch (b.1968) designed an unbleached £5 cotton bag with 'I am not a plastic bag' written on it for Sainsbury's supermarket."
"Sainsbury's","Organization","Partnered with designer Anya Hindmarch to sell an eco‑friendly reusable bag, supporting anti‑plastic consumer behaviour.","United Kingdom","Major UK supermarket chain.","In 2007, bag designer Anya Hindmarch (b.1968) designed an unbleached £5 cotton bag with 'I am not a plastic bag' written on it for Sainsbury's supermarket."
"HRH Prince Charles, Prince of Wales","Individual","Promotes sustainable living, influences policy (e.g., calling for EU climate leadership), and mobilises public engagement through high‑profile initiatives such as the bio‑fuel‑powered Royal Train tour and sustainability festivals.","United Kingdom","British royal who has championed environmental issues, launched the organic brand Duchy Originals, set household carbon‑reduction targets, and advocated for climate action in public speeches and tours...","HRH Prince Charles, Prince of Wales (b. 1948) has long had an interest in green issues and the natural environment."
"European Parliament","Government","Serves as the audience for Prince Charles’s 2008 speech urging EU leadership in combating climate change, thereby providing a political platform for high‑level environmental advocacy.","European Union","The directly elected legislative body of the European Union that debates and adopts EU policies and legislation.","Following this, in his first speech to the European Parliament on 14 February 2008, the Prince called for EU leadership in the war against climate change."
"Ronald Inglehart","Individual","Provided the theoretical concept of ‘post‑materialism’, explaining how shifting values make populations more receptive to environmental issues, thereby informing the sociocultural context of environmental movements.","United States","American political scientist and scholar of cultural change, known for his work on post‑materialist values.","Ronald Inglehart (b. 1934) defined this phenomenon as 'post-materialism'."
"Yale University","Organization","Produced empirical research on public understanding and attitudes toward climate change, informing the environmental movement, policymakers, and educators about knowledge gaps and trust in scientific sources.","United States","A private research university in the United States that conducted a 2010 study on U.S. public attitudes toward climate change.","A 2010 Yale University study of US public attitudes to climate change found that 63 per cent of Americans believed that global warming is happening."
"Elmer Wheeler","Individual","His marketing concept is cited as an early example of how environmental messages have been framed, influencing contemporary communication strategies within the environmental movement.","United States","US salesman who advised businesses on the 'Don't sell the sausage, sell the sizzle!' marketing approach in the 1940s.","In the 1940s, US salesman Elmer Wheeler advised businesses on his 'Don't sell the sausage, sell the sizzle!' marketing approach."
"Futerra","Organization","Authored a report arguing for new, positive climate messaging to re‑engage the public and media, shaping contemporary campaign approaches for greener behaviour.","None","A sustainability communications consultancy that produced the report 'Sizzle: The New Climate Message'.","A report by the sustainability communications consultancy Futerra, Sizzle: The New Climate Message, argues that in order to reinvigorate public and media interest, campaigns need to focus on a vision of a greener life that is positive and appealing to all."
