Title,Year,Type,Significance,Description,Supporting_Text
"Tesco announcement of product carbon‑footprint labelling and emissions cut",2007,"Policy",,"Tesco announced it would label 70,000 products with carbon‑footprint information and aim to cut store carbon emissions by 75 %.","In 2007, Britain's leading businesses responded to a resurging green trend, with the supermarket chain Tesco announcing it would be labelling 70,000 products with details of its carbon footprint, and that it would cut carbon emissions from its stores by 75 per cent."
"Marks & Spencer launch of 'Plan A' programme",2007,"Policy",,"Marks & Spencer launched a £200 million 'Plan A' programme aimed at making the company carbon neutral through energy reduction and increased use of recycled materials.","Marks & Spencer launched a £200 million 'Plan A' programme to make the company carbon neutral by cutting energy consumption and stocking more products from recycled materials."
"Broadcast of ""The Undersea World of Jacques Cousteau""",1966,"Other",,"US broadcast of the television series that brought marine life to public attention for the first time.","The 1966 US broadcast of The Undersea World of Jacques Cousteau brought life under the seas to public attention for the very first time."
"Release of documentary ""Life on Earth""",1979,"Publication",,"David Attenborough produced a highly acclaimed documentary that narrated the evolution of life on the planet.","In 1979, Attenborough produced a highly acclaimed documentary, Life on Earth, which told the story of the evolution of life on the planet."
"Earth Day celebration at Union Square",1970,"Meeting",,"Actors Paul Newman and Ali McGraw participated in the 1970 Earth Day celebration in New York City.","US actors Paul Newman (1925-2008) and Ali McGraw (b. 1939) took part in the 1970 Earth Day celebration at Union Square in New York City."
"Live Aid concert",1985,"Other",,"International artists performed at Live Aid on 13 July 1985, raising money for the Ethiopian famine and demonstrating the power of celebrity endorsement for environmentalists.","the success of the Live Aid concert on 13 July 1985 which galvanised a host of international artists to raise money to tackle the Ethiopian famine, that environmentalists realised the power of celebrity endorsement."
"Founding of Rainforest Foundation International",1989,"Organization",,"British musician Sting, his wife Trudie Styler, and filmmaker Jean‑Pierre Dutilleux established the Rainforest Foundation International.","In 1989, British musician Sting (b. 1951) founded the Rainforest Foundation International with his wife Trudie Styler (b. 1954) and Belgian film-maker Jean-Pierre Dutilleux."
"Legal recognition and demarcation of Kayapo territory",1993,"Policy",,"Following a campaign led by Sting and Kayapo leader Raoni Metuktire, the Brazilian government legally recognized and demarcated more than 27,359 km² of indigenous land in Amazonas.","In 1993 this resulted in legal recognition and demarcation of an area of more than 27,359 square kilometres."
"Publication of Vanity Fair’s “Green Issue”",2006,"Publication",,"Vanity Fair released a special “Green Issue” featuring Julia Roberts, George Clooney, Al Gore and Robert Kennedy Jr., calling for a new American revolution on climate change.","In May 2006, US Vanity Fair, a magazine of popular culture, fashion and politics, reflected popular environmental awareness when it published its 'Green Issue'. The cover featured Hollywood movie stars Julia Roberts (b. 1967) and George Clooney (b. 1961), and politicians Al Gore (b. 1948) and Robert..."
"Vanity Fair abandons annual Green Issue",2009,"Publication",,"Three years after the Green Issue launch, Vanity Fair announced it would cease publishing the annual green issue, stating that environmental coverage had become integral to the news agenda.","Three years later, Vanity Fair announced it would abandon its annual green issue, arguing that the environment had become so integral to the news agenda that there was no longer a need for a dedicated issue."
"Release of documentary ""An Inconvenient Truth""",2006,"Publication",,"Al Gore produced the Oscar‑winning documentary that presented the scientific case for climate change and its impacts.","In 2006, former US Democratic Party Vice President Al Gore's long-standing interest in environmental issues led him to produce the Oscar-winning documentary An Inconvenient Truth."
"Release of film ""The Day After Tomorrow""",2004,"Publication",,"Hollywood science‑fiction disaster film depicting catastrophic climate‑change scenarios.","This followed the 2004 Hollywood science-fiction disaster film The Day After Tomorrow."
"Release of documentary ""The 11th Hour""",2007,"Publication",,"Leonardo DiCaprio produced and narrated a feature documentary on the state of the natural environment.","In 2007, US actor Leonardo DiCaprio (b. 1974) produced and narrated the feature film documentary The 11th Hour on the state of the natural environment."
"Release of film ""The Age of Stupid""",2009,"Publication",,"Franny Armstrong produced a drama‑documentary‑animation hybrid about climate change, starring Pete Postlethwaite.","In 2009 British environmental campaigner Franny Armstrong (b. 1972) produced the film The Age of Stupid, which continued the climate change theme."
"Live Earth concert 2007",2007,"Other",,"A global series of concerts calling for worldwide action to combat climate change, staged on seven continents and broadcast in 132 countries.","The 2007 Live Earth concert called for worldwide action to combat climate change across seven continents, and was broadcast in 132 countries. Described as the 'largest global entertainment event in history', Live Earth staged concerts in New York, London, Sydney, Tokyo, Shanghai, Rio de Janeiro, Joh..."
"Publication of Climate Safety report",2008,"Publication",,"Report by the Public Interest Research Centre concluding the need for a 10 % reduction in the developed world's emissions by the end of 2010.","In 2008, the Public Interest Research Centre's report Climate Safety concluded the need for a 10 per cent reduction in the developed world's emissions by the end of 2010."
"Founding of the 10:10 campaign",2008,"Movement",,"Campaign encouraging individuals, businesses and organisations to commit to reducing their carbon emissions, founded by filmmaker Franny Armstrong.","This inspired Armstrong to found the 10:10 campaign, which encouraged individuals, businesses and organisations to commit to reducing their carbon emissions."
"Establishment of Active Resistance project",2005,"Other",,"Project set up by designer Vivienne Westwood to encourage engagement with humanitarian and environmental issues.","In 2005, the designer Vivenne Westwood (b. 1941) set up 'Active Resistance' as a project to encourage engagement with humanitarian and environmental issues."
"Launch of 'I am not a plastic bag' cotton bag",2007,"Other",,"An unbleached £5 cotton bag designed by Anya Hindmarch for Sainsbury's, bearing the slogan 'I am not a plastic bag', which sold out within an hour.","In 2007, bag designer Anya Hindmarch (b.1968) designed an unbleached £5 cotton bag with 'I am not a plastic bag' written on it for Sainsbury's supermarket."
"Conversion of Duchy Home Farm to organic agriculture",None,"Process",,"Process begun by Prince Charles in the early 1980s to convert the Duchy Home Farm on the Highgrove estate to an organic agricultural system.","In the early 1980s, when Prince Charles moved to the Highgrove estate in Gloucestershire, he began the process of converting the Duchy Home Farm, which is part of the estate, to an organic agricultural system."
"Launch of Duchy Originals organic brand",1990,"Other",,"Prince Charles launched his own organic brand, Duchy Originals, to produce natural, organic products and support countryside and wildlife protection.","In 1990, he launched his own organic brand, Duchy Originals, which embodies the Prince of Wales's commitment to producing natural, organic products while helping to protect and sustain the countryside and wildlife."
"Setting of household carbon emissions reduction target",2007,"Policy",,"Prince Charles's household set a target to reduce its carbon emissions by 25 % by 2012, using 2007 as the baseline year.","In 2007, his household set a target to reduce its carbon emissions by 25 per cent by 2012 against a baseline year of 2007."
"Prince Charles speech to the European Parliament",2008,"Other",,"First speech by Prince Charles to the European Parliament, calling for EU leadership in the war against climate change.","Following this, in his first speech to the European Parliament on 14 February 2008, the Prince called for EU leadership in the war against climate change."
"Prince Charles BBC lecture on climate change",2009,"Other",,"BBC lecture where Prince Charles argued that people must change their behaviour to stop the effects of climate change.","He also used a 2009 BBC lecture to argue that it is essential that people change their behaviour to stop the effects of climate change."
"Royal Train ecotour and sustainability festival",2010,"Other",,"Prince Charles undertook a bio‑fuel‑powered Royal Train ecotour across the UK to promote sustainable living, culminating in a sustainability festival attended by about 70,000 people.","The Prince's activities continued in 2010, when he undertook an ecotour of the UK in a bio-fuel-powered Royal Train to promote an initiative to encourage and celebrate sustainable living. At the end of the tour, he held a sustainability festival attended by an estimated 70,000 people and demonstrate..."
"First Earth Day",1970,"Event",,"In the USA, public concern for the environment first peaked around the first Earth Day in 1970 and then declined over the following decade.","In the USA, public concern for the environment first peaked around the first Earth Day in 1970 and then declined over the following decade."
"Time magazine declares “Endangered Earth” Planet of the Year",1989,"Publication",,"In 1989, the US Time magazine declared “Endangered Earth” as the “Planet of the Year” instead of its usual man or woman of the year.","In 1989, the US Time magazine declared 'Endangered Earth' as the 'Planet of the Year' instead of its usual man or woman of the year."
"Environment ranked fourth on national priorities list",1990,"Other",,"The environment ranked fourth on a 1990 list of national priorities.","The environment ranked fourth on a 1990 list of national priorities."
"Climategate controversy",2009,"Other",,"The November 2009 “climategate” controversy over climate science contributed to a decline in public concern about climate change.","The November 2009 'climategate' controversy over climate science (see Chapter 4) contributed to a decline in public concern about climate change."
"2010 public attitudes survey in England",2010,"Research",,"A 2010 survey of public attitudes in England revealed that the majority of the public still believed that the climate is changing and were prepared to take action.","A 2010 survey of public attitudes in England revealed that the majority of the public still believed that the climate is changing and were prepared to take action."
"Increase in environmental concern during the 1980s",None,"Process",,"The 1980s saw an increase in environmental concern with the discovery of climate change, the ozone hole and an increase in environmental disasters such as the Union Carbide gas tragedy in India, the C...","The 1980s saw an increase in environmental concern with the discovery of climate change, the ozone hole and an increase in environmental disasters such as the Union Carbide gas tragedy in India, the Chernobyl nuclear disaster and the Exxon Valdez oil spill."
"Rapid growth of US public concern for the environment (1987‑1990)",None,"Process",,"US public concern for the environment grew much more quickly than any other issue in the period 1987‑90.","US public concern for the environment grew much more quickly than any other issue in the period 1987-90."
"2009 EU study on European public attitudes to climate change",2009,"Research",,"A European Union‑commissioned survey that found two‑thirds of Europeans considered climate change a very serious problem, while highlighting gaps in knowledge in several member states.","A 2009 EU study found that two‑thirds of Europeans felt the climate is a very serious problem. In Turkey, Romania, Bulgaria and Lithuania, citizens felt they were not well informed about the causes and effects of climate change."
"2010 Yale University study of US public attitudes to climate change",2010,"Research",,"A Yale University survey that reported 63 % of Americans believed global warming is happening, identified knowledge gaps and misconceptions, and measured trust in scientists and desire for more educat...","A 2010 Yale University study of US public attitudes to climate change found that 63 per cent of Americans believed that global warming is happening. The study also found gaps in knowledge and common misconceptions about climate change."
"Publication of ""Sizzle: The New Climate Message"" report",None,"Publication",,"A report by the sustainability communications consultancy Futerra that argues campaigns should focus on a positive, appealing vision of a greener life to re‑engage the public and media.","A report by the sustainability communications consultancy Futerra, Sizzle: The New Climate Message, argues that in order to reinvigorate public and media interest, campaigns need to focus on a vision of a greener life that is positive and appealing to all."
"2009 UK survey on green lifestyle attitudes",2009,"Research",,"A national survey that revealed public confusion about what constitutes a green lifestyle, showing mixed attitudes toward personal environmental impact and guilt about harmful behaviours.","This confusion about what a green lifestyle actually entails is evident in the responses to a 2009 UK survey on the issue."
"Development of environmentalism within popular culture",None,"Process",,"A multi‑decadal process, beginning in the 1960s, through which environmentalism entered mainstream Western culture, acquiring a counter‑cultural element and influencing media, consumerism, and celebri...","This chapter has examined how environmentalism developed as part of popular culture over the past sixty years. In the 1960s, environmental issues burst into the public consciousness with unprecedented speed and urgency."
